Ref,Publisher,Language Code
1," Dutch Ministry of Agriculture, Nature and Food Security",en
2, Dutch Ministry of Foreign Affairs,en
3, European Centre for Development Policy Management (ECDPM),en
4, European Union,en
5, Food and Agriculture Organization of the United Nations (FAO),en
6, Norwegian Agency for Development Cooperation (Norad),en
7, Swedish International Development Cooperation Agency (Sida),en
8, The World Bank,en
9, United Nations Industrial Development Organization (UNIDO),en
10, United States Agency for International Development (USAID),en
11, University of Sussex,en
12, World Health Organization (WHO),en
13, World Organisation for Animal Health (OIE),en
14, World Trade Organization (WTO) ,en
15,Africa Partnership Forum (APF),en
16,African Centre for Technology Studies (ACTS),en
17,African Insect Science for Food and Health (ICIPE),en
18,African Union,en
21,Agence Française de Développement,en
22,Agricultural Economics Association of South Africa (AEASA),en
24,American Journal of Agricultural Economics,en
25,Annual Review of Phytopathology,en
26,Arab World Agribusiness,en
27,Asia Pacific Press,en
28,Asian Development Bank (ADB),en
29,Asian Development Bank Institute (ADB Institute),en
30,Asia-Pacific Research and Training Network on Trade (ARTNet),en
31,"Association for Advancement of Pest Management in Horticultural Ecosystems, Bangalore, India",en
32,Australian Bureau of Agricultural and Resource Economics (ABARE),en
33,Australian Centre for International Agricultural Research (ACIAR),en
34,"Australian Department of Agriculture, Fisheries and Forestry",en
35,Australian Department of Primary Industries (Victoria),en
36,Belize Agricultural Health Authority,en
37,CAB International (CABI),en
38,Cambridge University Press,en
39,Caribbean Community (CARICOM),en
40,Center for International Development (CID) at Harvard University ,en
41,Centre for the Promotion of Imports from developing countries (CBI),en
42,Centre technique de cooperation agricole et rurale (CTA),en
43,Codex Alimentarius,en
44,Common Market for Eastern and Southern Africa (COMESA),en
45,Commonwealth Secretariat ,en
46,Cornell University,en
47,Danish Institute for International Studies (DIIS),en
48,Danish International Development Assistance (DANIDA),en
49,"Department for Environment, Food and Rural Affairs (Defra)",en
50,"Department for the Environment, Food and Rural Affairs (Defra)",en
51,"Department of Agriculture, Forestry and Fisheries (DAFF) (South Africa)",en
52,Dirección de Administración de Comercio Exterior de Guatemala,en
53,Direction de la Protection des Végétaux (DPV) du Sénégal,en
54,"Dutch Ministry of Agriculture, Nature and Food Security",en
55,Dutch Ministry of Foreign Affairs,en
56,Economic Community Of West African States (ECOWAS),en
57,"EconPolicy Research Group, Ltd - Mozambique",en
58,Elanco Animal Health,en
59,Elsevier Ltd,en
60,Emerging Infectious Diseases,en
61,Environment Canada,en
62,European Union,en
63,Food and Agriculture Organization of the United Nations (FAO),en
64,Food Standards Agency,en
65,Global Food Safety Initiative (GFSI),en
66,Global Invasive Species Programme (GISP),en
67,Government of Fiji,en
68,Government of The Gambia,en
69,Government of Zambia,en
70,Institute for Agriculture and Trade Policy,en
71,Institute of Development Studies (IDS),en
72,Inter-African PhytoSanitary Council (IAPSC),en
73,Inter-American Development Bank (IDB),en
74,Inter-American Institute for Cooperation on Agriculture (IICA),en
75,International Atomic Energy Agency (IAEA),en
76,International Centre for Trade and Sustainable Development (ICTSD),en
77,International Finance Corporation (IFC),en
78,International Food and Agricultural Trade Policy Council (IPC),en
79,International Food Policy Research Institute (IFPRI),en
80,International Institute for Environment and Development (IIED),en
81,International Institute of Tropical Agriculture (IITA),en
82,International Livestock Research Institute (ILRI),en
83,International Plant Protection Convention (IPPC),en
84,International Trade Centre (ITC),en
85,Iowa State University,en
86,Kenya Plant Health Inspectorate Service (KEPHIS),en
87,Meridian Institute,en
88,Michigan State University,en
89,Ministerio de Comercio Exterior (COMEX) de Costa Rica,en
90,"Ministerio de Fomento, Industria y Comercio (MIFIC) de Nicaragua",en
91,Ministry of Agriculture and Forestry (MAF) of New Zealand,en
92,"Ministry of Agriculture, Food Security & Cooperative of the Republic of  Tanzania (MAFSC) ",en
93,"Ministry of Agriculture, Livestock and Food Supply (MAPA) of Brazil",en
94,"Ministry of Agriculture, Nature and Food Quality (Netherlands)",en
95,"Ministry of Trade Tourism and Industry, Uganda",en
96,Nathan Associates Inc.,en
97,"National Institute for Environmental Studies (NIES), Japan",en
98,Natural Resources Institute (NRI),en
99,Nature's Way Cooperative (Fiji) Limited,en
100,New Zealand Institute of Economic Research (NZIER),en
101,Organisation for Economic Co-operation and Development (OECD),en
102,Organismo Internacional Regional de Sanidad Agropecuria (OIRSA),en
103,Overseas Development Institute (ODI),en
104,Overseas Development Institute (ODI),en
105,Programme Initiative Pesticide (PIP),en
106,Reserve Bank of New Zealand,en
107,Secretariat of the Pacific Community,en
108,Servicio Agrícola y Ganadero (SAG) de Chile,en
109,SGS S.A.,en
110,South Centre,en
111,Southern African Development Community (SADC),en
112,Springer,en
113,Swedish National Board of Trade,en
114,Swiss National Centre of Competence in Research (NCCR),en
115,Systemwide Program on Integrated Pest Management (SP-IPM),en
116,Tearfund,en
117,Texas A&M University,en
118,The Global Invasive Species Programme (GISP),en
119,The Lancet,en
120,The World Bank,en
121,Trade Standards Practitioners Network (TSPN),en
122,U.S. Food and Drug Administration (FDA),en
123,United Nations Conference on Trade and Development (UNCTAD),en
124,United Nations Development Programme (UNDP),en
125,United Nations Industrial Development Organization (UNIDO),en
126,United States Agency for International Development (USAID),en
127,United States Department of Agriculture (USDA),en
128,United States Trade Representative (USTR),en
129,Universidad del CEMA - Argentina,en
130,University of Guelph,en
131,University of Kent,en
132,University of Liverpool,en
133,University of London,en
134,University of Massachusetts Amherst,en
135,University of Minnesota,en
136,University of Pretoria (UP),en
137,Wageningen University,en
138,WIRED Magazine,en
139,World Agroforestry Centre,en
140,World Health Organization (WHO),en
141,World Organisation for Animal Health (OIE),en
142,World Trade Organization (WTO) ,en
